Out1,Out2
-0.122686361,0.123661032
-0.122686361,0.123661032
-0.026856981,0.123661032
-0.026856981,0.25100961
-0.026856981,0.25100961
-0.026856981,0.378358188
-0.026856981,0.378358188
-0.026856981,0.505706766
-0.026856981,0.505706766
-0.026856981,0.633055344
-0.026856981,0.633055344
0.068972399,0.505706766
0.164801779,0.378358188
0.068972399,0.378358188
-0.026856981,0.505706766
-0.122686361,0.505706766
-0.218515741,0.633055344
-0.314345121,0.633055344
-0.410174501,0.633055344
-0.506003881,0.760403923
-0.601833261,0.760403923
-0.601833261,0.760403923
-0.506003881,0.633055344
-0.506003881,0.505706766
-0.506003881,0.505706766
-0.506003881,0.505706766
-0.506003881,0.378358188
-0.506003881,0.378358188
-0.506003881,0.378358188
-0.506003881,0.25100961
-0.506003881,0.25100961
-0.506003881,0.123661032
-0.410174501,-0.131036125
-0.410174501,-0.131036125
-0.410174501,-0.131036125
-0.410174501,-0.131036125
-0.410174501,-0.131036125
-0.410174501,-0.131036125
-0.410174501,-0.131036125
-0.410174501,-0.131036125
-0.410174501,-0.131036125
-0.314345121,-0.258384703
-0.314345121,-0.385733281
-0.314345121,-0.385733281
-0.314345121,-0.385733281
-0.314345121,-0.258384703
-0.410174501,-0.258384703
-0.410174501,-0.258384703
-0.410174501,-0.258384703
-0.410174501,-0.131036125
-0.410174501,-0.131036125
-0.506003881,-0.131036125
-0.506003881,-0.003687546
-0.410174501,-0.003687546
-0.410174501,-0.003687546
-0.410174501,0.123661032
-0.410174501,0.123661032
-0.410174501,0.123661032
-0.410174501,0.123661032
-0.314345121,0.123661032
-0.314345121,0.123661032
-0.314345121,0.378358188
-0.314345121,0.505706766
-0.314345121,0.505706766
-0.218515741,0.505706766
-0.218515741,0.378358188
-0.218515741,0.378358188
-0.218515741,0.378358188
-0.122686361,0.378358188
-0.122686361,0.378358188
-0.122686361,0.378358188
-0.122686361,0.378358188
-0.122686361,0.25100961
-0.122686361,0.378358188
-0.122686361,0.378358188
-0.122686361,0.378358188
-0.218515741,0.378358188
-0.218515741,0.505706766
-0.218515741,0.505706766
-0.218515741,0.505706766
-0.314345121,0.505706766
-0.314345121,0.505706766
-0.314345121,0.505706766
-0.218515741,0.378358188
-0.218515741,0.25100961
-0.122686361,0.123661032
-0.026856981,-0.003687546
0.068972399,-0.131036125
0.164801779,-0.258384703
0.164801779,-0.385733281
0.260631159,-0.513081859
0.356460539,-0.513081859
0.45228992,-0.513081859
0.45228992,-0.513081859
0.5481193,-0.513081859
0.5481193,-0.513081859
0.5481193,-0.513081859
0.5481193,-0.385733281
0.5481193,-0.385733281
0.5481193,-0.385733281
0.5481193,-0.385733281
0.5481193,-0.258384703
0.45228992,-0.258384703
0.45228992,-0.258384703
0.5481193,-0.258384703
0.5481193,-0.258384703
0.5481193,-0.258384703
0.64394868,-0.258384703
0.64394868,-0.258384703
0.64394868,-0.258384703
0.73977806,-0.385733281
0.73977806,-0.258384703
0.73977806,-0.258384703
0.64394868,-0.258384703
0.64394868,-0.385733281
0.5481193,-0.385733281
0.5481193,-0.385733281
0.5481193,-0.385733281
0.45228992,-0.385733281
0.45228992,-0.385733281
0.356460539,-0.385733281
0.356460539,-0.385733281
0.356460539,-0.385733281
0.260631159,-0.258384703
0.260631159,-0.258384703
0.164801779,-0.131036125
0.068972399,-0.131036125
-0.026856981,-0.131036125
-0.026856981,-0.003687546
